INFO:root:База данных инициализирована
INFO:root:API сервер запущен на порту 8080
INFO:root:Бот запущен
INFO:aiogram.dispatcher:Start polling
INFO:aiogram.dispatcher:Run polling for bot @four_zero_bot id=8451254918 - '0000'
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:18:26:15 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiogram.event:Update id=967769241 is handled. Duration 212 ms by bot id=8451254918
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:27:24 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.79 Mobile Safari/537.36 Telegram-Android/12.4.3 (Xiaomi 24129PN74C; Android 16; SDK 36; HIGH)"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:27:24 +0000] "GET /images/product-1.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.79 Mobile Safari/537.36 Telegram-Android/12.4.3 (Xiaomi 24129PN74C; Android 16; SDK 36; HIGH)"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:27:24 +0000] "GET /images/product-2.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.79 Mobile Safari/537.36 Telegram-Android/12.4.3 (Xiaomi 24129PN74C; Android 16; SDK 36; HIGH)"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:27:24 +0000] "GET /images/product-3.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.79 Mobile Safari/537.36 Telegram-Android/12.4.3 (Xiaomi 24129PN74C; Android 16; SDK 36; HIGH)"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:27:24 +0000] "GET /images/product-4.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.79 Mobile Safari/537.36 Telegram-Android/12.4.3 (Xiaomi 24129PN74C; Android 16; SDK 36; HIGH)"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:27:24 +0000] "GET /images/product-5.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.79 Mobile Safari/537.36 Telegram-Android/12.4.3 (Xiaomi 24129PN74C; Android 16; SDK 36; HIGH)"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:27:24 +0000] "GET /images/product-6.jpg HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.79 Mobile Safari/537.36 Telegram-Android/12.4.3 (Xiaomi 24129PN74C; Android 16; SDK 36; HIGH)"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:27:24 +0000] "GET /favicon.ico HTTP/1.1" 404 173 "https://4-0.xn--p1ai/" "Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.7632.79 Mobile Safari/537.36 Telegram-Android/12.4.3 (Xiaomi 24129PN74C; Android 16; SDK 36; HIGH)"
INFO:aiohttp.access:45.194.92.25 [01/Mar/2026:18:27:35 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:18:29:00 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:18:30:04 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:18:33:50 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.212 [01/Mar/2026:18:33:53 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:34:13 +0000] "POST /xmlrpc.php HTTP/1.1" 404 173 "-" "Mozilla/5.0 (Linux; Android 10; x64) AppleWebKit/537.36 (KHTML, like Gecko) Firefox/99.0.0.0 Safari/537.36"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:18:36:05 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:176.65.139.44 [01/Mar/2026:18:37:44 +0000] "POST /formaction HTTP/1.1" 404 173 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:38:17 +0000] "GET / HTTP/1.1" 200 239 "-" "python-requests/2.32.5"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:38:57 +0000] "GET /formaction HTTP/1.1" 404 173 "http://5.129.195.48:80/formaction" "Mozilla/5.0"
INFO:aiohttp.access:176.65.139.44 [01/Mar/2026:18:39:09 +0000] "POST /formaction HTTP/1.1" 404 173 "-" "Mozilla/5.0"
INFO:aiohttp.access:204.76.203.206 [01/Mar/2026:18:39:12 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:185.16.39.146 [01/Mar/2026:18:40:37 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:41:33 +0000] "GET /formaction HTTP/1.1" 404 173 "http://5.129.195.48:80/formaction" "Mozilla/5.0"
INFO:aiohttp.access:127.0.0.1 [01/Mar/2026:18:42:47 +0000] "GET / HTTP/1.1" 200 239 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_6_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
